country,Richness,AvTD,Signicance
NEPAL,7033,71.94,Higher
FAROE ISLANDS,463,71.92,Higher
BELIZE,5229,71.92,Higher
LAND ISLANDS,502,71.81,Higher
IRELAND,1997,71.75,Higher
HAITI,4789,71.74,Higher
THAILAND,12554,71.68,Higher
MONTSERRAT,822,71.62,Higher
ZIMBABWE,5275,71.36,Higher
VENEZUELA,20132,71.31,Higher
LIECHTENSTEIN,818,71.31,Higher
CUBA,9182,71.15,Higher
NEW ZEALAND,10211,71,Average
BOLIVIA,22343,70.96,Average
NEW CALEDONIA,5769,70.78,Average
UNITED KINGDOM,9837,70.75,Average
MARSHALL ISLANDS,357,70.72,Average
SIERRA LEONE,2787,70.66,Average
MALAWI,5133,70.63,Average
BERMUDA,925,70.56,Average
GUYANA,8585,70.4,Average
ZAMBIA,5100,70.32,Average
NIUE,621,70.14,Average
SAINT VINCENT AND THE GRENADINES,1219,70.11,Average
BURUNDI,3222,70.1,Average
URUGUAY,4293,70.04,Average
GUINEA,4051,70,Average
INDIA,19824,70,Average
PERU,28474,70,Average
MYANMAR,7412,69.93,Average
LESOTHO,2442,69.84,Average
SVALBARD AND JAN MAYEN ISLANDS,384,69.83,Average
FRENCH GUIANA,6640,69.79,Average
SURINAME,6285,69.78,Average
CANADA,12595,69.64,Average
NORTH KOREA,1241,69.61,Average
BARBADOS,939,69.58,Average
SWAZILAND,3460,69.57,Average
SOUTH SUDAN,296,69.54,Average
MACAO,197,69.48,Average
BRUNEI DARUSSALAM,3840,69.48,Average
BAHAMAS,1894,69.43,Average
BRAZIL,53083,69.36,Average
KENYA,7071,69.36,Average
SUDAN,2151,69.34,Average
MADAGASCAR,14738,69.2,Average
MAYOTTE,1358,69.17,Average
TIMOR-LESTE,1500,69.04,Average
ARGENTINA,15937,69.02,Average
LIBERIA,3030,69.01,Average
LAO PEOPLE'S DEMOCRATIC REPUBLIC,4624,69,Average
COTE D'IVOIRE,4483,69,Average
CABO VERDE,866,69,Average
BONAIRE,1250,68.98,Average
LATVIA,981,68.96,Average
TUVALU,137,68.89,Average
MALDIVES,223,68.86,Average
GHANA,5193,68.85,Average
TOGO,2472,68.83,Average
TANZANIA,11934,68.83,Average
CAMBODIA,3460,68.81,Average
ANGUILLA,1037,68.8,Average
KIRIBATI,431,68.76,Average
PARAGUAY,9315,68.72,Average
ERITREA,1478,68.69,Average
UNITED STATES,43551,68.65,Average
